Step        Dt          Time        Progress    
444         1.399e-05   0.0172606   34%         
445         2.29269e-05 0.0172835   34%         
446         2.29269e-05 0.0173064   34%         
447         2.21238e-05 0.0173286   34%         
448         4.45392e-05 0.0173731   34%         
449         9.29428e-06 0.0173824   34%         
450         9.29428e-06 0.0173917   34%         
451         1.52501e-05 0.0174069   34%         
452         1.52501e-05 0.0174222   34%         
453         1.52501e-05 0.0174374   34%         
454         2.9286e-05  0.0174667   34%         
455         2.9286e-05  0.017496    34%         
456         2.71787e-05 0.0175232   35%         
457         1.73258e-05 0.0175405   35%         
458         1.73258e-05 0.0175578   35%         
459         1.73258e-05 0.0175752   35%         
460         2.86511e-05 0.0176038   35%         
461         2.86511e-05 0.0176325   35%         
462         4.57067e-05 0.0176782   35%         
463         4.57067e-05 0.0177239   35%         
464         9.02945e-06 0.0177329   35%         
465         9.02945e-06 0.0177419   35%         
466         9.02945e-06 0.017751    35%         
467         2.0028e-05  0.017771    35%         
468         2.0028e-05  0.017791    35%         
469         2.0028e-05  0.0178111   35%         
470         4.36256e-05 0.0178547   35%         
471         4.04384e-05 0.0178951   35%         
472         6.41342e-05 0.0179593   35%         
473         5.47945e-05 0.0180141   36%         
474         5.47945e-05 0.0180688   36%         
475         4.81112e-05 0.018117    36%         
476         4.81112e-05 0.0181651   36%         
477         9.7638e-06  0.0181748   36%         
478         9.7638e-06  0.0181846   36%         
479         2.84547e-05 0.0182131   36%         
480         2.84547e-05 0.0182415   36%         
481         2.84547e-05 0.01827     36%         
482         5.29896e-05 0.018323    36%         
483         4.77318e-05 0.0183707   36%         
484         4.77318e-05 0.0184184   36%         
485         2.93651e-05 0.0184478   36%         
486         1.52637e-06 0.0184493   36%         
487         1.52637e-06 0.0184508   36%         
488         3.07438e-06 0.0184539   36%         
489         5.73332e-06 0.0184596   36%         
490         1.55687e-05 0.0184752   36%         
491         2.7537e-05  0.0185027   37%         
492         2.7537e-05  0.0185303   37%         
493         2.7537e-05  0.0185578   37%         
494         2.7537e-05  0.0185854   37%         
495         4.36209e-05 0.018629    37%         
496         2.91909e-05 0.0186582   37%         
497         2.91909e-05 0.0186874   37%         
498         2.91909e-05 0.0187166   37%         
499         3.91947e-05 0.0187557   37%         
500         2.42578e-05 0.01878     37%         
501         2.42578e-05 0.0188043   37%         
502         2.42578e-05 0.0188285   37%         
503         3.74557e-05 0.018866    37%         
504         3.74557e-05 0.0189034   37%         
505         3.33836e-05 0.0189368   37%         
506         3.33836e-05 0.0189702   37%         
507         2.96354e-05 0.0189998   37%         
508         4.46633e-05 0.0190445   38%         
509         2.43334e-05 0.0190688   38%         
510         2.43334e-05 0.0190932   38%         
511         2.43334e-05 0.0191175   38%         
512         1.50471e-05 0.0191325   38%         
513         1.50471e-05 0.0191476   38%         
514         1.50471e-05 0.0191626   38%         
515         2.78724e-05 0.0191905   38%         
516         2.78724e-05 0.0192184   38%         
517         2.56371e-05 0.019244    38%         
518         2.56371e-05 0.0192697   38%         
519         4.19686e-05 0.0193116   38%         
520         2.37376e-05 0.0193354   38%         
521         2.37376e-05 0.0193591   38%         
522         2.37376e-05 0.0193828   38%         
523         3.60245e-05 0.0194189   38%         
524         3.60245e-05 0.0194549   38%         
525         3.60245e-05 0.0194909   38%         
526         3.16602e-05 0.0195226   39%         
527         3.16602e-05 0.0195542   39%         
528         3.16602e-05 0.0195859   39%         
529         4.25212e-05 0.0196284   39%         
530         3.61578e-05 0.0196646   39%         
531         3.61578e-05 0.0197007   39%         
532         4.2216e-05  0.0197429   39%         
533         7.51736e-06 0.0197505   39%         
534         7.28133e-06 0.0197577   39%         
535         1.19419e-05 0.0197697   39%         
536         1.19419e-05 0.0197816   39%         
537         1.9628e-05  0.0198013   39%         
538         1.9628e-05  0.0198209   39%         
539         1.9628e-05  0.0198405   39%         
540         4.5726e-05  0.0198862   39%         
541         4.30575e-05 0.0199293   39%         
542         4.23339e-05 0.0199716   39%         
543         8.87327e-06 0.0199805   39%         
544         8.87327e-06 0.0199894   39%         
545         1.48395e-05 0.0200042   40%         
546         1.48395e-05 0.0200191   40%         
547         3.21006e-05 0.0200512   40%         
548         3.21006e-05 0.0200833   40%         
549         3.21006e-05 0.0201154   40%         
550         5.6883e-05  0.0201722   40%         
551         4.38333e-05 0.0202161   40%         
552         2.91212e-05 0.0202452   40%         
553         2.91212e-05 0.0202743   40%         
554         2.69788e-05 0.0203013   40%         
555         2.69788e-05 0.0203283   40%         
556         2.69788e-05 0.0203553   40%         
557         4.22932e-05 0.0203975   40%         
558         3.62927e-05 0.0204338   40%         
559         3.62927e-05 0.0204701   40%         
560         3.62927e-05 0.0205064   41%         
561         3.62927e-05 0.0205427   41%         
562         3.62927e-05 0.020579    41%         
563         3.62927e-05 0.0206153   41%         
564         3.62927e-05 0.0206516   41%         
565         3.35895e-05 0.0206852   41%         
566         3.35895e-05 0.0207188   41%         
567         5.55623e-05 0.0207743   41%         
568         4.90387e-05 0.0208234   41%         
569         3.3557e-05  0.0208569   41%         
570         3.3557e-05  0.0208905   41%         
571         3.32193e-05 0.0209237   41%         
572         6.01371e-05 0.0209838   41%         
573         5.33492e-05 0.0210372   42%         
574         5.33492e-05 0.0210905   42%         
575         4.64515e-05 0.021137    42%         
576         4.64515e-05 0.0211834   42%         
577         4.22226e-05 0.0212257   42%         
578         4.22226e-05 0.0212679   42%         
579         3.76816e-05 0.0213056   42%         
580         6.24186e-05 0.021368    42%         
581         5.15704e-05 0.0214196   42%         
582         4.77343e-05 0.0214673   42%         
583         4.77343e-05 0.021515    43%         
584         4.77343e-05 0.0215628   43%         
585         3.85898e-05 0.0216014   43%         
586         6.17447e-05 0.0216631   43%         
587         6.17447e-05 0.0217248   43%         
588         5.61396e-05 0.021781    43%         
589         4.57833e-05 0.0218268   43%         
590         4.57833e-05 0.0218726   43%         
591         3.74564e-05 0.02191     43%         
592         7.5528e-05  0.0219855   43%         
593         7.15615e-05 0.0220571   44%         
594         5.57844e-05 0.0221129   44%         
595         5.02211e-05 0.0221631   44%         
596         5.02211e-05 0.0222133   44%         
597         3.88294e-05 0.0222522   44%         
598         3.88294e-05 0.022291    44%         
599         3.25559e-05 0.0223235   44%         
600         6.47633e-05 0.0223883   44%         
601         6.47633e-05 0.0224531   44%         
602         5.54075e-05 0.0225085   45%         
603         5.19886e-05 0.0225605   45%         
604         5.07704e-05 0.0226112   45%         
605         5.07704e-05 0.022662    45%         
606         5.03063e-05 0.0227123   45%         
607         5.03063e-05 0.0227626   45%         
608         4.91233e-05 0.0228117   45%         
609         4.91233e-05 0.0228609   45%         
610         4.91233e-05 0.02291     45%         
611         4.91233e-05 0.0229591   45%         
612         4.48404e-05 0.0230039   46%         
613         2.57123e-05 0.0230297   46%         
614         2.57123e-05 0.0230554   46%         
615         2.57123e-05 0.0230811   46%         
616         3.15577e-05 0.0231126   46%         
617         2.51777e-05 0.0231378   46%         
618         2.51777e-05 0.023163    46%         
619         2.51777e-05 0.0231882   46%         
620         4.44779e-05 0.0232327   46%         
621         4.29681e-05 0.0232756   46%         
622         3.40743e-05 0.0233097   46%         
623         1.93757e-05 0.0233291   46%         
624         1.93757e-05 0.0233484   46%         
625         1.93757e-05 0.0233678   46%         
626         4.59953e-05 0.0234138   46%         
627         4.59953e-05 0.0234598   46%         
628         4.59953e-05 0.0235058   47%         
629         4.59953e-05 0.0235518   47%         
630         4.59953e-05 0.0235978   47%         
631         4.59953e-05 0.0236438   47%         
632         3.95244e-05 0.0236833   47%         
633         3.95244e-05 0.0237228   47%         
634         3.95244e-05 0.0237624   47%         
635         3.95244e-05 0.0238019   47%         
636         3.95244e-05 0.0238414   47%         
637         3.95244e-05 0.0238809   47%         
638         3.95244e-05 0.0239205   47%         
639         6.98833e-06 0.0239275   47%         
640         6.98833e-06 0.0239344   47%         
641         1.17186e-05 0.0239462   47%         
642         1.17186e-05 0.0239579   47%         
643         1.17186e-05 0.0239696   47%         
644         4.13236e-05 0.0240109   48%         
645         3.93385e-05 0.0240503   48%         
646         3.93385e-05 0.0240896   48%         
