Step        Dt          Time        Progress    
285         0.0001      0.028115    28%         
286         0.0001      0.028215    28%         
287         0.0001      0.028315    28%         
288         0.0001      0.028415    28%         
289         0.0001      0.028515    28%         
290         0.0001      0.028615    28%         
291         0.0001      0.028715    28%         
292         0.0001      0.028815    28%         
293         0.0001      0.028915    28%         
294         0.0001      0.029015    29%         
295         0.0001      0.029115    29%         
296         0.0001      0.029215    29%         
297         0.0001      0.029315    29%         
298         0.0001      0.029415    29%         
299         0.0001      0.029515    29%         
300         0.0001      0.029615    29%         
301         0.0001      0.029715    29%         
302         0.0001      0.029815    29%         
303         0.0001      0.029915    29%         
304         0.0001      0.030015    30%         
305         0.0001      0.030115    30%         
306         0.0001      0.030215    30%         
307         0.0001      0.030315    30%         
308         0.0001      0.030415    30%         
309         0.0001      0.030515    30%         
310         0.0001      0.030615    30%         
311         0.0001      0.030715    30%         
312         0.0001      0.030815    30%         
313         0.0001      0.030915    30%         
314         0.0001      0.031015    31%         
315         0.0001      0.031115    31%         
316         0.0001      0.031215    31%         
317         0.0001      0.031315    31%         
318         0.0001      0.031415    31%         
319         0.0001      0.031515    31%         
320         0.0001      0.031615    31%         
321         0.0001      0.031715    31%         
322         0.0001      0.031815    31%         
323         0.0001      0.031915    31%         
324         0.0001      0.032015    32%         
325         0.0001      0.032115    32%         
326         0.0001      0.032215    32%         
327         0.0001      0.032315    32%         
328         0.0001      0.032415    32%         
329         0.0001      0.032515    32%         
330         0.0001      0.032615    32%         
331         0.0001      0.032715    32%         
332         9.22124e-05 0.0328072   32%         
333         0.0001      0.0329072   32%         
334         0.0001      0.0330072   33%         
335         0.0001      0.0331072   33%         
336         0.0001      0.0332072   33%         
337         0.0001      0.0333072   33%         
338         0.0001      0.0334072   33%         
339         0.0001      0.0335072   33%         
340         0.0001      0.0336072   33%         
341         0.0001      0.0337072   33%         
342         0.0001      0.0338072   33%         
343         0.0001      0.0339072   33%         
344         9.67852e-05 0.034004    34%         
345         0.0001      0.034104    34%         
346         0.0001      0.034204    34%         
347         0.0001      0.034304    34%         
348         0.0001      0.034404    34%         
349         0.0001      0.034504    34%         
350         0.0001      0.034604    34%         
351         0.0001      0.034704    34%         
352         0.0001      0.034804    34%         
353         0.0001      0.034904    34%         
354         0.0001      0.035004    35%         
355         0.0001      0.035104    35%         
356         0.0001      0.035204    35%         
357         0.0001      0.035304    35%         
358         0.0001      0.035404    35%         
359         0.0001      0.035504    35%         
360         0.0001      0.035604    35%         
361         0.0001      0.035704    35%         
362         0.0001      0.035804    35%         
363         0.0001      0.035904    35%         
364         0.0001      0.036004    36%         
365         0.0001      0.036104    36%         
366         0.0001      0.036204    36%         
367         0.0001      0.036304    36%         
368         0.0001      0.036404    36%         
369         0.0001      0.036504    36%         
370         0.0001      0.036604    36%         
371         0.0001      0.036704    36%         
372         0.0001      0.036804    36%         
373         0.0001      0.036904    36%         
374         0.0001      0.037004    37%         
375         0.0001      0.037104    37%         
376         0.0001      0.037204    37%         
377         0.0001      0.037304    37%         
378         0.0001      0.037404    37%         
379         0.0001      0.037504    37%         
380         0.0001      0.037604    37%         
381         0.0001      0.037704    37%         
382         0.0001      0.037804    37%         
383         0.0001      0.037904    37%         
384         0.0001      0.038004    38%         
385         5.46651e-05 0.0380586   38%         
386         5.46651e-05 0.0381133   38%         
387         0.0001      0.0382133   38%         
388         0.0001      0.0383133   38%         
389         0.0001      0.0384133   38%         
390         0.0001      0.0385133   38%         
391         0.0001      0.0386133   38%         
392         0.0001      0.0387133   38%         
393         0.0001      0.0388133   38%         
394         0.0001      0.0389133   38%         
395         0.0001      0.0390133   39%         
396         0.0001      0.0391133   39%         
397         0.0001      0.0392133   39%         
398         0.0001      0.0393133   39%         
399         0.0001      0.0394133   39%         
400         0.0001      0.0395133   39%         
401         0.0001      0.0396133   39%         
402         0.0001      0.0397133   39%         
403         0.0001      0.0398133   39%         
404         0.0001      0.0399133   39%         
405         0.0001      0.0400133   40%         
406         0.0001      0.0401133   40%         
407         0.0001      0.0402133   40%         
408         0.0001      0.0403133   40%         
409         0.0001      0.0404133   40%         
410         0.0001      0.0405133   40%         
411         0.0001      0.0406133   40%         
412         0.0001      0.0407133   40%         
413         0.0001      0.0408133   40%         
414         0.0001      0.0409133   40%         
415         0.0001      0.0410133   41%         
416         0.0001      0.0411133   41%         
417         0.0001      0.0412133   41%         
418         0.0001      0.0413133   41%         
419         0.0001      0.0414133   41%         
420         0.0001      0.0415133   41%         
421         0.0001      0.0416133   41%         
422         0.0001      0.0417133   41%         
423         0.0001      0.0418133   41%         
424         0.0001      0.0419133   41%         
425         0.0001      0.0420133   42%         
426         0.0001      0.0421133   42%         
427         0.0001      0.0422133   42%         
428         0.0001      0.0423133   42%         
429         0.0001      0.0424133   42%         
430         0.0001      0.0425133   42%         
431         0.0001      0.0426133   42%         
432         0.0001      0.0427133   42%         
433         0.0001      0.0428133   42%         
434         0.0001      0.0429133   42%         
435         0.0001      0.0430133   43%         
436         0.0001      0.0431133   43%         
437         0.0001      0.0432133   43%         
438         0.0001      0.0433133   43%         
439         0.0001      0.0434133   43%         
440         0.0001      0.0435133   43%         
441         0.0001      0.0436133   43%         
442         0.0001      0.0437133   43%         
443         0.0001      0.0438133   43%         
444         9.62498e-05 0.0439095   43%         
445         0.0001      0.0440095   44%         
446         0.0001      0.0441095   44%         
